micro_market,zip_code,property_type,price_bucket,sqft_bucket,beds,baths,n_listings,median_dom_days,p75_dom_days,pct_fast_seller,observed_ratio
27127|single_family|na|1000-1500|3|1,27127,single_family,na,1000-1500,3,1,59,40.0,63.5,44.1,0.0
27104|single_family|na|1000-1500|3|1,27104,single_family,na,1000-1500,3,1,25,40.0,75.0,44.0,0.0
27105|single_family|na|1500-2000|3|2,27105,single_family,na,1500-2000,3,2,50,40.0,61.0,44.0,0.0
27127|single_family|na|1000-1500|2|1,27127,single_family,na,1000-1500,2,1,25,40.0,61.0,44.0,0.0
27104|single_family|na|1500-2000|3|2,27104,single_family,na,1500-2000,3,2,69,40.0,61.0,43.5,0.0
27409|single_family|na|1500-2000|3|2,27409,single_family,na,1500-2000,3,2,23,40.0,65.5,43.5,0.0
27105|single_family|na|1000-1500|3|1,27105,single_family,na,1000-1500,3,1,106,40.0,64.0,43.4,0.0
27103|single_family|na|1000-1500|3|2,27103,single_family,na,1000-1500,3,2,121,40.0,58.0,43.0,0.0
27101|single_family|na|1000-1500|3|2,27101,single_family,na,1000-1500,3,2,42,40.0,61.0,42.9,0.0
27101|single_family|na|500-1000|2|1,27101,single_family,na,500-1000,2,1,21,40.0,95.0,42.9,0.0
27107|single_family|na|1000-1500|4|1,27107,single_family,na,1000-1500,4,1,7,40.0,63.0,42.9,0.0
27107|single_family|na|500-1000|3|1,27107,single_family,na,500-1000,3,1,21,40.0,82.0,42.9,0.0
27107|single_family|na|2500-3000|3|2,27107,single_family,na,2500-3000,3,2,19,40.0,61.5,42.1,0.0
27106|single_family|na|2500-3000|3|3,27106,single_family,na,2500-3000,3,3,12,40.0,72.0,41.7,0.0
27127|single_family|na|1500-2000|3|2,27127,single_family,na,1500-2000,3,2,114,40.0,61.0,41.2,0.0
27127|single_family|na|3000-3500|3|2,27127,single_family,na,3000-3500,3,2,17,40.0,48.0,41.2,0.0
27101|single_family|na|1000-1500|2|2,27101,single_family,na,1000-1500,2,2,10,40.0,48.5,40.0,0.0
27103|single_family|na|1000-1500|4|3,27103,single_family,na,1000-1500,4,3,10,40.0,46.75,40.0,0.0
27103|single_family|na|500-1000|1|1,27103,single_family,na,500-1000,1,1,5,40.0,78.0,40.0,0.0
27260|single_family|na|1500-2000|3|2,27260,single_family,na,1500-2000,3,2,5,40.0,54.0,40.0,0.0
27260|single_family|na|1000-1500|2|1,27260,single_family,na,1000-1500,2,1,13,40.0,54.0,38.5,0.0
27106|single_family|na|2500-3000|4|3,27106,single_family,na,2500-3000,4,3,29,40.0,54.0,37.9,0.0
27455|single_family|na|1000-1500|2|2,27455,single_family,na,1000-1500,2,2,8,40.0,47.0,37.5,0.0
27106|single_family|na|2500-3000|3|2,27106,single_family,na,2500-3000,3,2,9,40.0,54.0,33.3,0.0
27455|townhome|na|1000-1500|2|2,27455,townhome,na,1000-1500,2,2,15,40.0,54.0,33.3,0.0
27103|single_family|na|1500-2000|4|2,27103,single_family,na,1500-2000,4,2,28,40.0,70.5,32.1,0.0
27407|single_family|na|1500-2000|4|2,27407,single_family,na,1500-2000,4,2,13,40.0,47.0,30.8,0.0
27104|single_family|na|1500-2000|4|2,27104,single_family,na,1500-2000,4,2,7,40.0,64.5,28.6,0.0
27407|single_family|na|2000-2500|3|2,27407,single_family,na,2000-2500,3,2,7,40.0,54.0,28.6,0.0
27105|land|na|na|na|na,27105,land,na,na,na,na,22,40.5,65.5,50.0,0.0
27103|single_family|na|2000-2500|3|2,27103,single_family,na,2000-2500,3,2,35,41.0,57.5,45.7,0.0
27106|single_family|na|1500-2000|3|1,27106,single_family,na,1500-2000,3,1,9,41.0,54.0,44.4,0.0
27101|single_family|na|1500-2000|3|1,27101,single_family,na,1500-2000,3,1,7,41.0,60.5,42.9,0.0
27103|single_family|na|1000-1500|4|2,27103,single_family,na,1000-1500,4,2,13,41.0,60.0,38.5,0.0
27104|single_family|na|2500-3000|3|3,27104,single_family,na,2500-3000,3,3,12,41.5,84.25,50.0,0.0
27106|single_family|na|2000-2500|3|3,27106,single_family,na,2000-2500,3,3,22,41.5,52.25,45.5,0.0
27260|single_family|na|1000-1500|3|1,27260,single_family,na,1000-1500,3,1,36,41.5,62.75,41.7,0.0
27107|mobile|na|1500-2000|3|2,27107,mobile,na,1500-2000,3,2,7,42.0,68.0,42.9,0.0
27410|single_family|na|3000-3500|4|3,27410,single_family,na,3000-3500,4,3,10,42.0,66.25,40.0,0.0
27409|townhome|na|1000-1500|2|2,27409,townhome,na,1000-1500,2,2,23,42.0,64.5,34.8,0.0
27103|single_family|na|500-1000|2|1,27103,single_family,na,500-1000,2,1,34,42.5,54.0,38.2,0.0
27101|land|na|na|na|na,27101,land,na,na,na,na,9,43.0,88.0,33.3,0.0
27410|single_family|na|1500-2000|4|2,27410,single_family,na,1500-2000,4,2,10,43.5,54.25,50.0,0.0
27103|single_family|na|1000-1500|2|2,27103,single_family,na,1000-1500,2,2,46,43.5,67.75,47.8,0.0
27265|single_family|na|2500-3000|3|2,27265,single_family,na,2500-3000,3,2,6,43.5,50.0,16.7,0.0
27401|single_family|na|1500-2000|4|2,27401,single_family,na,1500-2000,4,2,9,44.0,84.0,55.6,0.0
27101|single_family|na|1500-2000|2|2,27101,single_family,na,1500-2000,2,2,9,44.0,61.0,44.4,0.0
27410|townhome|na|1000-1500|3|2,27410,townhome,na,1000-1500,3,2,13,44.0,75.0,38.5,0.0
27455|single_family|na|2500-3000|4|2,27455,single_family,na,2500-3000,4,2,11,44.0,63.0,27.3,0.0
27409|townhome|na|1500-2000|3|2,27409,townhome,na,1500-2000,3,2,22,44.5,62.5,31.8,0.0
27455|townhome|na|1500-2000|3|2,27455,townhome,na,1500-2000,3,2,16,44.5,59.75,31.2,0.0
27405|single_family|na|1500-2000|3|2,27405,single_family,na,1500-2000,3,2,27,45.0,88.0,51.9,0.0
27105|single_family|na|500-1000|3|1,27105,single_family,na,500-1000,3,1,25,45.0,74.0,48.0,0.0
27410|single_family|na|2500-3000|4|3,27410,single_family,na,2500-3000,4,3,17,45.0,75.0,47.1,0.0
27106|single_family|na|3500-4000|4|3,27106,single_family,na,3500-4000,4,3,12,45.0,56.5,41.7,0.0
27263|single_family|na|1000-1500|3|1,27263,single_family,na,1000-1500,3,1,20,45.0,62.5,40.0,0.0
27455|townhome|na|1000-1500|3|2,27455,townhome,na,1000-1500,3,2,6,45.0,63.5,33.3,0.0
27101|single_family|na|500-1000|3|1,27101,single_family,na,500-1000,3,1,10,45.0,69.75,30.0,0.0
27403|single_family|na|2000-2500|3|2,27403,single_family,na,2000-2500,3,2,12,45.5,69.75,25.0,0.0
27410|single_family|na|3000-3500|4|2,27410,single_family,na,3000-3500,4,2,8,46.0,85.5,50.0,0.0
27107|land|na|na|na|na,27107,land,na,na,na,na,18,46.0,77.0,38.9,0.0
27106|single_family|na|2000-2500|3|2,27106,single_family,na,2000-2500,3,2,60,46.5,54.25,38.3,0.0
27127|land|na|na|na|na,27127,land,na,na,na,na,6,46.5,59.75,33.3,0.0
27401|single_family|na|1500-2000|3|2,27401,single_family,na,1500-2000,3,2,11,47.0,57.5,63.6,0.0
27401|single_family|na|500-1000|1|1,27401,single_family,na,500-1000,1,1,5,47.0,64.0,60.0,0.0
27405|single_family|na|1000-1500|3|2,27405,single_family,na,1000-1500,3,2,63,47.0,72.0,55.6,0.0
27405|single_family|na|500-1000|3|1,27405,single_family,na,500-1000,3,1,17,47.0,61.0,52.9,0.0
27406|single_family|na|1500-2000|3|2,27406,single_family,na,1500-2000,3,2,31,47.0,68.0,45.2,0.0
27410|townhome|na|1500-2000|3|2,27410,townhome,na,1500-2000,3,2,32,47.0,92.0,43.8,0.0
27406|single_family|na|2000-2500|4|2,27406,single_family,na,2000-2500,4,2,7,47.0,62.0,42.9,0.0
27263|single_family|na|1000-1500|3|2,27263,single_family,na,1000-1500,3,2,31,47.0,84.5,41.9,0.0
27260|multi_family|na|1500-2000|4|2,27260,multi_family,na,1500-2000,4,2,5,47.0,91.0,40.0,0.0
27262|single_family|na|1000-1500|2|2,27262,single_family,na,1000-1500,2,2,5,47.0,61.0,40.0,0.0
27262|single_family|na|1000-1500|3|1,27262,single_family,na,1000-1500,3,1,20,47.0,55.75,40.0,0.0
27409|townhome|na|1000-1500|3|2,27409,townhome,na,1000-1500,3,2,10,47.0,81.5,40.0,0.0
27107|single_family|na|1000-1500|2|1,27107,single_family,na,1000-1500,2,1,36,47.0,82.25,38.9,0.0
27410|single_family|na|2500-3000|4|2,27410,single_family,na,2500-3000,4,2,13,47.0,68.0,38.5,0.0
27106|single_family|na|1000-1500|3|1,27106,single_family,na,1000-1500,3,1,32,47.0,61.0,37.5,0.0
27265|single_family|na|2000-2500|3|2,27265,single_family,na,2000-2500,3,2,27,47.0,75.0,37.0,0.0
27409|townhome|na|1500-2000|2|2,27409,townhome,na,1500-2000,2,2,19,47.0,68.0,36.8,0.0
27104|single_family|na|2000-2500|3|2,27104,single_family,na,2000-2500,3,2,25,47.0,54.0,36.0,0.0
27104|single_family|na|3000-3500|4|3,27104,single_family,na,3000-3500,4,3,20,47.0,65.0,35.0,0.0
27103|single_family|na|2000-2500|4|3,27103,single_family,na,2000-2500,4,3,9,47.0,82.0,33.3,0.0
27262|single_family|na|2500-3000|3|2,27262,single_family,na,2500-3000,3,2,9,47.0,89.0,33.3,0.0
27107|single_family|na|2000-2500|4|2,27107,single_family,na,2000-2500,4,2,17,47.0,61.0,29.4,0.0
27103|single_family|na|1000-1500|3|3,27103,single_family,na,1000-1500,3,3,7,47.0,57.5,28.6,0.0
27103|townhome|na|1500-2000|2|2,27103,townhome,na,1500-2000,2,2,14,47.0,71.0,28.6,0.0
27106|single_family|na|500-1000|4|2,27106,single_family,na,500-1000,4,2,5,47.0,68.0,20.0,0.0
27403|single_family|na|1000-1500|2|2,27403,single_family,na,1000-1500,2,2,5,47.0,68.0,20.0,0.0
27107|single_family|na|3500-4000|4|3,27107,single_family,na,3500-4000,4,3,11,47.0,73.5,18.2,0.0
27107|single_family|na|1000-1500|3|3,27107,single_family,na,1000-1500,3,3,7,47.0,64.5,14.3,0.0
27107|single_family|na|3000-3500|3|2,27107,single_family,na,3000-3500,3,2,10,47.0,63.25,0.0,0.0
27101|single_family|na|2000-2500|4|2,27101,single_family,na,2000-2500,4,2,6,47.5,63.5,33.3,0.0
27405|single_family|na|1000-1500|2|1,27405,single_family,na,1000-1500,2,1,13,48.0,54.0,53.8,0.0
27401|single_family|na|500-1000|3|1,27401,single_family,na,500-1000,3,1,15,48.0,64.5,46.7,0.0
27127|single_family|na|1000-1500|2|2,27127,single_family,na,1000-1500,2,2,24,48.0,68.0,33.3,0.0
27407|townhome|na|1000-1500|2|2,27407,townhome,na,1000-1500,2,2,13,48.0,54.0,30.8,0.0
27107|single_family|na|3000-3500|4|3,27107,single_family,na,3000-3500,4,3,8,48.0,76.25,25.0,0.0
27103|single_family|na|3000-3500|4|3,27103,single_family,na,3000-3500,4,3,6,48.5,54.0,33.3,0.0
27406|single_family|na|1500-2000|4|2,27406,single_family,na,1500-2000,4,2,9,49.0,61.0,44.4,0.0
27407|townhome|na|1000-1500|3|2,27407,townhome,na,1000-1500,3,2,5,49.0,51.0,40.0,0.0
27408|single_family|na|1000-1500|2|1,27408,single_family,na,1000-1500,2,1,14,49.0,56.25,35.7,0.0
27260|single_family|na|500-1000|3|1,27260,single_family,na,500-1000,3,1,13,49.0,54.0,30.8,0.0
27410|single_family|na|1000-1500|2|2,27410,single_family,na,1000-1500,2,2,14,49.5,66.75,35.7,0.0
27101|single_family|na|1000-1500|3|1,27101,single_family,na,1000-1500,3,1,34,49.5,79.5,35.3,0.0
27103|single_family|na|1500-2000|2|2,27103,single_family,na,1500-2000,2,2,6,49.5,54.25,33.3,0.0
27410|townhome|na|1000-1500|2|2,27410,townhome,na,1000-1500,2,2,18,50.5,67.5,38.9,0.0
27103|land|na|na|na|na,27103,land,na,na,na,na,8,50.5,72.5,37.5,0.0
27265|single_family|na|2000-2500|4|2,27265,single_family,na,2000-2500,4,2,16,50.5,64.5,37.5,0.0
27407|single_family|na|2000-2500|4|2,27407,single_family,na,2000-2500,4,2,8,50.5,62.75,25.0,0.0
27106|single_family|na|3000-3500|5|4,27106,single_family,na,3000-3500,5,4,10,50.5,84.0,20.0,0.0
27403|single_family|na|2000-2500|4|2,27403,single_family,na,2000-2500,4,2,6,50.5,80.25,16.7,0.0
27262|single_family|na|500-1000|3|1,27262,single_family,na,500-1000,3,1,13,51.0,68.0,46.2,0.0
27455|single_family|na|1500-2000|4|2,27455,single_family,na,1500-2000,4,2,7,51.0,61.0,42.9,0.0
27127|townhome|na|1000-1500|3|2,27127,townhome,na,1000-1500,3,2,20,51.0,72.0,40.0,0.0
27407|single_family|na|2500-3000|4|2,27407,single_family,na,2500-3000,4,2,6,51.0,62.5,33.3,0.0
27105|single_family|na|1000-1500|2|1,27105,single_family,na,1000-1500,2,1,30,52.0,62.5,36.7,0.0
27263|single_family|na|1500-2000|3|2,27263,single_family,na,1500-2000,3,2,18,52.5,73.75,44.4,0.0
27103|single_family|na|1500-2000|4|3,27103,single_family,na,1500-2000,4,3,9,54.0,96.0,44.4,0.0
27106|single_family|na|3500-4000|5|4,27106,single_family,na,3500-4000,5,4,9,54.0,61.0,44.4,0.0
27127|townhome|na|1500-2000|3|2,27127,townhome,na,1500-2000,3,2,14,54.0,87.0,42.9,0.0
27262|single_family|na|2500-3000|4|2,27262,single_family,na,2500-3000,4,2,5,54.0,54.0,40.0,0.0
27406|single_family|na|1500-2000|3|1,27406,single_family,na,1500-2000,3,1,5,54.0,103.0,40.0,0.0
27455|single_family|na|3000-3500|4|3,27455,single_family,na,3000-3500,4,3,8,54.0,65.25,25.0,0.0
27455|single_family|na|1000-1500|2|1,27455,single_family,na,1000-1500,2,1,5,54.0,54.0,20.0,0.0
27106|townhome|na|1500-2000|3|2,27106,townhome,na,1500-2000,3,2,9,54.0,61.0,11.1,0.0
27265|townhome|na|1000-1500|3|2,27265,townhome,na,1000-1500,3,2,5,55.0,82.0,40.0,0.0
27104|single_family|na|2500-3000|4|2,27104,single_family,na,2500-3000,4,2,9,55.0,75.0,22.2,0.0
27127|single_family|na|1000-1500|3|3,27127,single_family,na,1000-1500,3,3,6,55.5,66.25,33.3,0.0
27405|townhome|na|1000-1500|3|2,27405,townhome,na,1000-1500,3,2,16,56.5,86.0,37.5,0.0
27107|single_family|na|1500-2000|4|2,27107,single_family,na,1500-2000,4,2,14,57.0,73.0,7.1,0.0
27401|single_family|na|500-1000|2|1,27401,single_family,na,500-1000,2,1,20,57.5,95.0,40.0,0.0
27107|single_family|na|4000-4500|3|2,27107,single_family,na,4000-4500,3,2,8,57.5,67.25,37.5,0.0
27127|single_family|na|2500-3000|4|2,27127,single_family,na,2500-3000,4,2,12,57.5,78.0,25.0,0.0
27265|single_family|na|1500-2000|4|2,27265,single_family,na,1500-2000,4,2,8,57.5,71.5,25.0,0.0
27104|single_family|na|1500-2000|4|3,27104,single_family,na,1500-2000,4,3,6,57.5,66.25,16.7,0.0
27407|single_family|na|1000-1500|2|2,27407,single_family,na,1000-1500,2,2,8,57.5,73.75,12.5,0.0
27405|single_family|na|1500-2000|4|2,27405,single_family,na,1500-2000,4,2,18,60.0,94.0,33.3,0.0
27106|single_family|na|1000-1500|4|2,27106,single_family,na,1000-1500,4,2,9,61.0,89.0,44.4,0.0
27262|single_family|na|1500-2000|3|1,27262,single_family,na,1500-2000,3,1,7,61.0,70.5,42.9,0.0
27106|single_family|na|3000-3500|4|4,27106,single_family,na,3000-3500,4,4,9,61.0,70.0,33.3,0.0
27127|townhome|na|2000-2500|3|2,27127,townhome,na,2000-2500,3,2,9,61.0,88.0,33.3,0.0
27401|single_family|na|1000-1500|2|2,27401,single_family,na,1000-1500,2,2,9,61.0,71.0,33.3,0.0
27127|single_family|na|2000-2500|3|2,27127,single_family,na,2000-2500,3,2,36,61.0,82.0,27.8,0.0
27105|single_family|na|1500-2000|3|1,27105,single_family,na,1500-2000,3,1,16,61.0,82.0,25.0,0.0
27262|single_family|na|1000-1500|3|2,27262,single_family,na,1000-1500,3,2,11,61.0,79.5,18.2,0.0
27127|townhome|na|2500-3000|3|2,27127,townhome,na,2500-3000,3,2,17,61.0,89.0,17.6,0.0
27103|single_family|na|2500-3000|4|3,27103,single_family,na,2500-3000,4,3,9,61.0,89.0,11.1,0.0
27265|single_family|na|2500-3000|4|3,27265,single_family,na,2500-3000,4,3,10,61.0,64.0,0.0,0.0
27262|single_family|na|3000-3500|4|3,27262,single_family,na,3000-3500,4,3,6,61.5,85.5,16.7,0.0
27103|single_family|na|2500-3000|4|2,27103,single_family,na,2500-3000,4,2,9,63.0,75.0,33.3,0.0
27107|single_family|na|2500-3000|4|3,27107,single_family,na,2500-3000,4,3,6,63.0,73.0,33.3,0.0
27262|single_family|na|500-1000|1|1,27262,single_family,na,500-1000,1,1,6,63.0,72.5,33.3,0.0
27407|single_family|na|3000-3500|4|2,27407,single_family,na,3000-3500,4,2,5,63.0,91.0,20.0,0.0
27407|single_family|na|500-1000|3|1,27407,single_family,na,500-1000,3,1,7,63.0,78.5,0.0,0.0
27408|single_family|na|1500-2000|4|2,27408,single_family,na,1500-2000,4,2,5,64.0,68.0,40.0,0.0
27105|single_family|na|2000-2500|3|2,27105,single_family,na,2000-2500,3,2,9,64.0,71.0,22.2,0.0
27263|single_family|na|2000-2500|3|2,27263,single_family,na,2000-2500,3,2,6,64.5,76.25,33.3,0.0
27101|single_family|na|2500-3000|4|2,27101,single_family,na,2500-3000,4,2,6,64.5,94.25,0.0,0.0
27104|single_family|na|3000-3500|4|2,27104,single_family,na,3000-3500,4,2,5,66.0,81.0,20.0,0.0
27403|single_family|na|2500-3000|4|3,27403,single_family,na,2500-3000,4,3,5,68.0,113.0,40.0,0.0
27265|single_family|na|1000-1500|2|2,27265,single_family,na,1000-1500,2,2,9,68.0,93.0,22.2,0.0
27409|single_family|na|2000-2500|3|2,27409,single_family,na,2000-2500,3,2,5,68.0,90.0,20.0,0.0
27107|single_family|na|4000-4500|4|3,27107,single_family,na,4000-4500,4,3,5,69.0,72.0,20.0,0.0
27401|single_family|na|1000-1500|2|1,27401,single_family,na,1000-1500,2,1,15,71.0,82.0,26.7,0.0
27405|single_family|na|2000-2500|4|2,27405,single_family,na,2000-2500,4,2,14,71.5,98.0,21.4,0.0
27403|single_family|na|500-1000|3|1,27403,single_family,na,500-1000,3,1,6,74.0,88.5,33.3,0.0
27107|single_family|na|2500-3000|3|3,27107,single_family,na,2500-3000,3,3,5,75.0,75.0,0.0,0.0
27405|single_family|na|2000-2500|3|2,27405,single_family,na,2000-2500,3,2,9,80.0,90.0,11.1,0.0
27405|single_family|na|na|4|3,27405,single_family,na,na,4,3,13,82.0,91.0,23.1,0.0
27405|townhome|na|1500-2000|4|2,27405,townhome,na,1500-2000,4,2,5,91.0,91.0,0.0,0.0
27407|single_family|na|500-1000|2|2,27407,single_family,na,500-1000,2,2,6,91.5,112.25,0.0,0.0
